country,var,code,_1970,_1971,_1972,_1973,_1974,_1975,_1976,_1977,_1978,_1979,_1980,_1981,_1982,_1983,_1984,_1985,_1986,_1987,_1988,_1989,_1990,_1991,_1992,_1993,_1994,_1995,_1996,_1997,_1998,_1999,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012,_2013,_2014,_2015
AT,I_CT,G,,,,,,,,,,,,,,,,,,,,,,,,,,79.1,90.5,69.2,82.7,60.4,45.1,43.7,33.3,30.5,38,34.3,38.1,45.9,43.7,39.2,89.5,73.4,93.5,127,136,174.9
AT,I_CT,45,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,3.2,2.7,3.1,2.3,1.7,1.4,1.2,1.1,1.3,1,1.2,1.5,1.4,1.4,5.2,8.6,10,34.4,23,29.3
AT,I_CT,46,,,,,,,,,,,,,,,,,,,,,,,,,,52.3,54.8,38.4,45.6,33.8,25,24,18.2,17.3,20.7,19.2,21.2,26.1,26.6,24,49.2,36.6,45.4,53.6,61.6,78
AT,I_CT,47,,,,,,,,,,,,,,,,,,,,,,,,,,24.8,32.5,28.1,34,24.3,18.4,18.3,14,12.1,16,14,15.6,18.3,15.8,13.8,35.1,28.2,38.1,39,51.4,67.6
AT,I_CT,H,,,,,,,,,,,,,,,,,,,,,,,,,,64.8,80,89.8,97.9,93.9,70.1,62.7,58,66.8,86.1,107.7,104.2,110.5,81.7,96.1,105,120.5,121.4,144.9,161.8,195.8
AT,I_CT,49-52,,,,,,,,,,,,,,,,,,,,,,,,,,62.2,75.6,84.5,95.2,91.8,68.7,60.2,56.1,65.8,84.9,106.1,102.8,108.8,80,94.7,104.9,120.4,121.5,144.9,161.7,195.8
AT,I_CT,53,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,4.4,5.3,2.6,2.2,1.4,2.5,1.9,1.1,1.2,1.6,1.5,1.7,1.7,1.4,0,0,0,0,0,0
AT,I_CT,I,,,,,,,,,,,,,,,,,,,,,,,,,,23.2,30.3,24.5,29.1,19.9,17.4,19.7,13.9,11.8,17.4,16.8,16.6,17.7,21.2,18,27.7,16.3,28.6,14,11,15.2
AT,I_CT,J,,,,,,,,,,,,,,,,,,,,,,,,,,1601.8,1552,1354.4,1696.1,1798.7,1725.6,1434.5,1060.1,948.8,943.7,921.2,871.9,878.3,1170.4,952.9,84.2,782.9,628.4,659.9,848.9,992.2
AT,I_CT,58-60,,,,,,,,,,,,,,,,,,,,,,,,,,20.2,23.6,26.6,29.9,27.2,27.7,33.9,22.9,20.8,21.4,-61.7,18.6,21.3,25,24.8,34.9,27.5,42.4,32.4,35,44.1
AT,I_CT,61,,,,,,,,,,,,,,,,,,,,,,,,,,1578.5,1523.3,1322,1658.1,1765.3,1692.3,1394.8,1032.7,925.1,918.3,979.1,849.6,852.7,1141.8,924.8,32.7,739.7,570.8,595.6,780.2,905
AT,I_CT,62-63,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,5.2,5.8,8,6.1,5.5,5.7,4.5,3,4,3.8,3.7,4.3,3.6,3.3,16.6,15.7,15.2,32,33.8,43.2
AT,I_CT,K,,,,,,,,,,,,,,,,,,,,,,,,,,48.5,55.5,61.3,62,61.1,51.4,50.2,42,40.6,33.4,27,22.9,20.1,26.3,22.9,12.9,17.4,15.8,17,9.9,12.5
AT,I_CT,L,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,4.1,3.4,3.7,3.5,2.8,3.8,3.3,4.6,5.3,5.8,1,1.2,13,0.4,10.4,6.6,12.3,11.3,14.6,19.6
AT,I_CT,M-N,,,,,,,,,,,,,,,,,,,,,,,,,,123.7,183.1,170.9,162.2,148.8,133.6,207.3,221.9,247.5,410.2,370,414.8,521.8,522,177.9,807.9,247.3,226.7,217.6,199.5,247.4
